customerID,Name,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Age,Under 30,Married,Avg Monthly Long Distance Charges,Avg Monthly GB Download,Streaming Music,Premium Tech Support,Unlimited Data,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue
5299-RULOA,Tara Mali,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Cash,3007.5,31939.5,Yes,62,No,Yes,734.4,30,Yes,No,Yes,0,0,7344,39283.5
0404-SWRVG,Parmesh Nepal,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2232,6886.5,Yes,21,Yes,No,438,71,Yes,No,Yes,262.2,0,1314,7938.3
4412-YLTKF,Bhumi Shakya,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Cash,2341.5,64065,Yes,72,No,No,99.9,18,No,No,No,0,300,2697.3,67062.3
6207-WIOLX,Hardika Khadka,Female,0,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1758,45079.5,Yes,27,Yes,Yes,0,48,Yes,No,Yes,134.4,0,0,44945.1
3091-FYHKI,Keshab Chaturvedi,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Cash,1063.5,1063.5,Yes,64,No,No,0,22,Yes,No,Yes,0,0,0,1063.5
2372-HWUHI,Gaurav Baral,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Cash,1330.5,2437.5,Yes,45,No,No,1405.2,3,No,No,Yes,0,0,2810.4,5247.9
0390-DCFDQ,Gunjan Gupta,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,eSewa,2113.5,2113.5,Yes,76,No,Yes,458.4,30,No,No,Yes,0,0,458.4,2571.9
4080-OGPJL,Barsha Pant,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Cash,2134.5,16909.5,Yes,53,No,No,1444.2,18,Yes,Yes,Yes,0,0,11553.6,28463.1
2135-RXIHG,Mangal Dangol,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cash,1369.5,1369.5,Yes,63,No,No,423.6,24,No,No,Yes,0,0,423.6,1793.1
3874-EQOEP,Tila Mishra,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,eSewa,2850,19665,Yes,32,No,No,615.6,28,Yes,No,No,1098,300,4309.2,23176.2
0867-MKZVY,Nidhi Khadgi,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Cash,2472,47770.5,Yes,26,Yes,Yes,1098,51,Yes,No,Yes,1002.9,0,21960,68727.6
3376-BMGFE,Sapna Paneru,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mobile Banking,2127,8190,Yes,42,No,No,1005,27,No,No,Yes,262.2,0,4020,11947.8
3445-HXXGF,Paresh Deuba,Male,1,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Cash,1359,79536,Yes,66,No,Yes,0,24,No,No,Yes,1228.5,0,0,78307.5
1875-QIVME,Lalita Upadhyaya,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,3132,7284,Yes,26,Yes,Yes,345.3,53,Yes,Yes,Yes,1363.2,0,690.6,6611.4
0691-JVSYA,Saru Chaturvedi,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mobile Banking,2845.5,150006,Yes,24,Yes,Yes,1218.6,73,Yes,No,Yes,556.5,0,64585.8,214035.3
2656-FMOKZ,Utisha Manandhar,Female,1,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,eSewa,2233.5,34371,Yes,70,No,No,1322.1,19,No,No,Yes,0,0,19831.5,54202.5
2070-FNEXE,Shruti Moktan,Female,1,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mobile Banking,2293.5,15108,Yes,77,No,No,808.5,18,No,No,No,331.5,0,5659.5,20436
6317-YPKDH,Hansika Lamsal,Female,0,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mobile Banking,898.5,898.5,Yes,54,No,No,0,27,No,No,Yes,0,0,0,898.5
9367-WXLCH,Nanda Rai,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mobile Banking,2535,19879.5,Yes,51,No,No,771.9,19,Yes,No,Yes,996.3,0,6175.2,25058.4
1918-ZBFQJ,Sweata Pokhrel,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Cash,2377.5,33349.5,Yes,48,No,No,1006.2,76,No,No,Yes,1447.5,0,13080.6,44982.6
1024-GUALD,Chetana Ghimire,Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cash,744,744,Yes,29,Yes,Yes,0,29,Yes,No,Yes,0,0,0,744
2472-OVKUP,Nitish Karn,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Cash,2730,15930,Yes,39,No,Yes,1262.4,29,Yes,No,Yes,0,0,7574.4,23504.4
1285-OKIPP,Nischay Shakya,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Cash,2397,2397,Yes,62,No,No,696,21,Yes,No,Yes,0,0,696,3093
7825-ECJRF,Sujeeta Khadgi,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cash,3198,58033.5,Yes,43,No,No,850.5,19,Yes,Yes,No,651.6,1200,16159.5,74741.4
7841-TZDMQ,Sanju Deuba,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1380,2535,Yes,19,Yes,No,1494.3,41,Yes,No,Yes,0,0,2988.6,5523.6
9408-SSNVZ,Manmaya Mishra,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2104.5,8050.5,Yes,39,No,No,882,17,No,No,Yes,650.7,0,3528,10927.8
0742-MOABM,Nitish Mahara,Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,eSewa,1501.5,5380.5,Yes,50,No,Yes,290.1,22,No,Yes,Yes,0,0,1160.4,6540.9
2232-DMLXU,Trishana Bastola,Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,eSewa,1656,1656,Yes,22,Yes,Yes,1068,58,Yes,No,Yes,0,0,1068,2724
8937-RDTHP,Nitish Mishra,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,eSewa,2538,2538,Yes,40,No,No,805.5,11,Yes,No,Yes,0,0,805.5,3343.5
1251-KRREG,Lekh Tuladhar,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,eSewa,1632,3423,Yes,22,Yes,No,1329.3,73,Yes,No,Yes,0,0,2658.6,6081.6
0094-OIFMO,Krithya Samal,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cash,2850,33609,Yes,78,No,No,347.7,29,No,No,No,0,3600,3824.7,41033.7
9947-OTFQU,Neel Danwar,Male,1,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Cash,2232,32229,Yes,65,No,No,873.3,29,No,No,Yes,0,0,13099.5,45328.5
0322-YINQP,Uttam Dangol,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,eSewa,1456.5,1456.5,Yes,37,No,No,340.5,9,No,No,Yes,0,0,340.5,1797
4629-NRXKX,Jasmine Pariyar,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cash,2112,4414.5,Yes,47,No,Yes,1386.9,21,No,No,Yes,0,0,2773.8,7188.3
9514-JDSKI,Nirmal Rajput,Male,1,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Cash,1206,1206,Yes,77,No,Yes,0,12,No,No,Yes,0,0,0,1206
4959-JOSRX,Ana Subba,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1338,2416.5,Yes,41,No,Yes,905.7,16,No,No,Yes,0,0,1811.4,4227.9
7273-TEFQD,Kabir Phuyal,Male,1,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Cash,1234.5,3966,Yes,67,No,No,0,28,Yes,No,Yes,0,0,0,3966
3606-TWKGI,Kanak Bhatta,Male,1,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3207,40929,Yes,68,No,No,980.4,11,No,No,No,0,300,12745.2,53974.2
6323-AYBRX,Prithivi Saaru,Male,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,eSewa,580.5,32988,Yes,51,No,No,798.9,0,No,No,No,426.6,0,47135.1,79696.5
4385-GZQXV,Chandani Pant,Female,1,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Cash,2833.5,45336,Yes,68,No,No,282.9,9,Yes,Yes,Yes,0,0,4526.4,49862.4
6366-ZGQGL,Tej Magar,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mobile Banking,744,744,Yes,60,No,No,0,29,No,No,Yes,0,0,0,744
5940-AHUHD,Jayanta Tamang,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,eSewa,2118,2118,Yes,30,No,No,1337.7,41,No,No,Yes,0,0,1337.7,3455.7
6432-TWQLB,Ratna Raut,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Cash,2562,12033,Yes,51,No,Yes,1268.7,16,No,Yes,Yes,1361.1,0,6343.5,17015.4
4484-GLZOU,Shantee Thakur,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3151.5,168745.5,Yes,20,Yes,Yes,317.7,48,Yes,No,Yes,828,0,16520.4,184437.9
9512-UIBFX,Balram Poudel,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,eSewa,2854.5,53398.5,Yes,52,No,Yes,45.3,28,Yes,No,Yes,305.1,0,815.4,53908.8
5583-SXDAG,Anmol Deuba,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cash,2100,2100,Yes,41,No,Yes,574.5,18,No,No,No,0,300,574.5,2974.5
3488-PGMQJ,Manjul Jha,Male,1,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Cash,2235,18196.5,Yes,66,No,No,53.4,7,No,No,Yes,0,0,427.2,18623.7
3580-REOAC,Neel Kathayat,Male,0,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1345.5,13062,Yes,34,No,No,1487.4,17,No,No,Yes,0,0,14874,27936
7534-BFESC,Nihar Danwar,Male,1,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2283,51381,Yes,69,No,No,926.1,15,No,No,Yes,0,0,22226.4,73607.4
6390-DSAZX,Bishala Sigdel,Female,0,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,eSewa,2208,2208,Yes,21,Yes,No,185.7,52,Yes,No,Yes,0,0,185.7,2393.7
8098-LLAZX,Aastha Magar,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cash,2863.5,11883,Yes,74,No,No,948.3,2,No,No,Yes,0,0,3793.2,15676.2
0265-EDXBD,Hans Pyakurel,Male,1,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2247,69100.5,Yes,76,No,Yes,1420.2,10,No,No,Yes,0,0,45446.4,114546.9
7563-BIUPC,Rajiv Nepal,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cash,2418,12466.5,Yes,30,No,No,173.4,52,No,No,No,1093.2,1200,867,13440.3
2321-OMBXY,Naina Koirala,Female,0,Yes,Yes,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),2409,91759.5,Yes,55,No,Yes,1264.2,19,Yes,Yes,Yes,0,0,48039.6,139799.1
2840-XANRC,Saugat Acharya,Male,1,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,2794.5,66931.5,Yes,77,No,Yes,483,12,Yes,No,Yes,0,0,11592,78523.5
5020-ZSTTY,Rasmi Karki,Female,1,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Mobile Banking,2473.5,130503,Yes,70,No,No,362.4,5,Yes,Yes,Yes,0,0,19569.6,150072.6
5804-LEPIM,Rabina Neupane,Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2110.5,4171.5,Yes,74,No,No,395.1,10,No,No,Yes,0,0,790.2,4961.7
0122-OAHPZ,Deepika Gharti,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cash,2215.5,15337.5,Yes,29,Yes,No,858.6,26,Yes,No,Yes,390.9,0,6010.2,20956.8
2868-SNELZ,Tejaswi Parajuli,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,eSewa,2418,4674,Yes,54,No,No,159.6,20,No,No,Yes,0,0,319.2,4993.2
4322-RCYMT,Narayan Shrestha,Male,0,Yes,Yes,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Mobile Banking,2274,158818.5,Yes,63,No,Yes,875.4,18,Yes,Yes,No,0,2700,59527.2,221045.7
6680-NENYN,Siddhi Lamsal,Female,0,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Cash,3138,142795.5,Yes,24,Yes,No,386.4,59,Yes,No,Yes,0,0,16615.2,159410.7
1343-EHPYB,Adesh Khadgi,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cash,3102,198090,Yes,61,No,Yes,1468.5,13,Yes,No,Yes,0,0,92515.5,290605.5
2034-GDRCN,Kripa Khadgi,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cash,2712,5046,Yes,47,No,No,315.9,8,Yes,No,Yes,0,0,631.8,5677.8
0219-YTZUE,Subham Lohani,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2544,11157,Yes,26,Yes,Yes,863.1,19,Yes,No,Yes,0,0,3452.4,14609.4
0623-IIHUG,Nitisha Pokhrel,Female,1,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Cash,1257,25203,Yes,77,No,No,0,8,No,No,Yes,0,0,0,25203
4572-DVCGN,Eshuma Mainali,Female,0,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mobile Banking,2407.5,25380,Yes,40,No,No,813,11,Yes,No,Yes,0,0,8130,33510
9057-MSWCO,Hardik Thakuri,Male,1,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),922.5,24153,Yes,71,No,Yes,0,13,No,No,No,0,4200,0,28353
1010-DIAUQ,Aditya Basnet,Male,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mobile Banking,2895,14776.5,Yes,54,No,No,625.8,8,Yes,No,Yes,0,0,3129,17905.5
0259-GBZSH,Dilip Chalise,Male,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cash,2569.5,5445,Yes,22,Yes,No,1212.9,27,Yes,No,Yes,0,0,2425.8,7870.8
9601-BRXPO,Chandani Rupakheti,Female,0,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mobile Banking,3148.5,76995,Yes,48,No,Yes,267.3,10,Yes,Yes,Yes,0,0,6682.5,83677.5
6905-NIQIN,Lalit Dangol,Male,0,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,eSewa,1519.5,1519.5,Yes,26,Yes,No,443.4,59,Yes,No,Yes,0,0,443.4,1962.9
5167-ZFFMM,Nischay Manandhar,Male,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),2725.5,2725.5,Yes,64,No,No,256.8,24,Yes,No,Yes,0,0,256.8,2982.3
4895-TMWIR,Chandra Deuba,Male,1,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,eSewa,598.5,6442.5,Yes,79,No,Yes,886.2,0,No,No,No,0,0,9748.2,16190.7
0533-BNWKF,Kalpita Samal,Female,1,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Cash,2563.5,146241,Yes,66,No,Yes,1284.6,27,No,No,No,0,2700,70653,219594
6599-CEBNN,Isha Raut,Female,0,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),2218.5,75733.5,Yes,63,No,No,46.5,14,No,No,Yes,0,0,1581,77314.5
0979-PHULV,Akul Gharti,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2983.5,210228,Yes,30,No,Yes,1464,26,Yes,No,Yes,0,0,101016,311244
4800-VHZKI,Sabita Sharma,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,eSewa,597,597,Yes,59,No,No,1098.9,0,No,No,No,0,0,1098.9,1695.9
7989-CHGTL,Ravin Samal,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,eSewa,588,588,Yes,52,No,No,425.1,0,No,No,No,0,0,425.1,1013.1
0334-GDDSO,Binod Khadgi,Male,1,No,No,3,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Cash,2440.5,7011,Yes,77,No,No,276.6,14,No,No,Yes,0,0,829.8,7840.8
0578-SKVMF,Pinki Paneru,Female,0,Yes,Yes,22,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Cash,2499,55377,Yes,23,Yes,Yes,120.3,53,Yes,No,Yes,0,0,2646.6,58023.6
5564-NEMQO,Mahita Mali,Female,1,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mobile Banking,2259,2259,Yes,80,No,No,1052.7,17,No,No,No,0,600,1052.7,3911.7
9063-ZGTUY,Bipasha Khadgi,Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,eSewa,582,35476.5,Yes,22,Yes,Yes,1388.1,0,No,No,No,0,0,84674.1,120150.6
2957-LOLHO,Shaswat Danwar,Male,0,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mobile Banking,1362,15567,Yes,49,No,No,333.6,14,No,No,Yes,0,0,4003.2,19570.2
